Date,Symbol,Open,High,Low,Close,Volume
12/15/2023 12:30,MSFT,371.49,371.53,371,371.13,182691
12/15/2023 12:35,MSFT,371.14,371.16,370.57,370.87,180014
12/15/2023 12:15,MSFT,371.54,371.94,371.29,371.921,151675
12/15/2023 13:00,MSFT,370.12,370.25,369.93,370.104,231197
12/15/2023 11:50,MSFT,371.17,371.21,370.88,370.96,138888
12/15/2023 11:40,MSFT,371.44,371.45,371.06,371.14,158489
12/15/2023 12:05,MSFT,371.23,371.29,370.91,371.01,138500
12/15/2023 11:00,MSFT,371.26,371.4,370.81,370.92,194670
12/15/2023 11:25,MSFT,371.407,371.85,371.395,371.74,219243
12/15/2023 12:00,MSFT,371.31,371.6,371.14,371.18,185915
12/15/2023 11:15,MSFT,370.79,371.46,370.74,371.46,252331
12/15/2023 11:55,MSFT,370.96,371.45,370.945,371.3,167490
12/15/2023 18:20,GOOG,133.85,133.89,133.75,133.84,258
12/15/2023 19:20,GOOG,133.93,133.96,133.9,133.93,943
12/15/2023 19:15,GOOG,133.95,134,133.92,133.97,384
12/15/2023 11:05,MSFT,370.94,371.03,370.33,370.459,242416
12/15/2023 18:55,GOOG,134.07,134.07,133.882,133.94,101
12/15/2023 19:00,GOOG,133.985,134.05,133.86,133.965,58
12/15/2023 18:05,GOOG,133.8,133.83,133.76,133.83,628
12/15/2023 17:45,GOOG,133.84,133.85,132.63,133.66,802
12/15/2023 17:50,GOOG,134.14,134.73,132.73,133.9,850
12/15/2023 17:35,GOOG,133.36,133.92,132.74,133.861,2157
12/15/2023 16:50,GOOG,133.89,133.92,133.84,133.85,82691
12/15/2023 17:30,GOOG,126.431,134.73,126.431,133.05,1568
12/15/2023 17:00,GOOG,133.9,133.92,133.87,133.91,299
12/15/2023 16:40,GOOG,133.91,133.92,133.9,133.9,6251
12/15/2023 16:25,GOOG,133.9,133.92,133.84,133.91,5179
12/15/2023 15:55,GOOG,133.74,133.845,133.58,133.75,1691676
12/15/2023 16:00,GOOG,133.72,133.87,133.61,133.84,50079008
12/15/2023 16:05,GOOG,133.85,133.91,133.546,133.843,1305877
12/15/2023 16:10,GOOG,133.88,133.907,133.84,133.85,614838
12/15/2023 15:35,GOOG,133.83,133.953,133.76,133.942,729878
12/15/2023 15:50,GOOG,133.86,133.88,133.5,133.74,1377592
12/15/2023 15:25,GOOG,133.802,133.93,133.802,133.89,195138
12/15/2023 14:55,GOOG,133.51,133.6,133.43,133.6,204434
12/15/2023 15:30,GOOG,133.89,133.93,133.805,133.835,277187
12/15/2023 14:50,GOOG,133.49,133.55,133.46,133.5,109796
12/15/2023 14:30,GOOG,133.285,133.58,133.275,133.545,199399
12/15/2023 14:20,GOOG,133.505,133.52,133.41,133.48,144831
12/15/2023 13:50,GOOG,132.915,132.96,132.79,132.88,247773
12/15/2023 14:00,GOOG,132.92,133.14,132.832,133.095,151015
12/15/2023 14:10,GOOG,133.295,133.385,133.22,133.37,160200
12/15/2023 14:05,GOOG,133.09,133.39,132.98,133.292,261046
12/15/2023 13:40,GOOG,133.09,133.115,132.75,132.85,318543
12/15/2023 13:15,GOOG,132.9,132.91,132.8,132.875,126757
12/15/2023 12:50,GOOG,133.005,133.02,132.89,132.905,119233
12/15/2023 13:10,GOOG,132.78,132.925,132.705,132.895,175025
12/15/2023 12:35,GOOG,133.15,133.15,132.95,132.96,169869
12/15/2023 13:00,GOOG,132.78,132.88,132.752,132.81,238301
12/15/2023 12:30,GOOG,133.3,133.32,133.1,133.15,156071
12/15/2023 12:00,GOOG,133.01,133.05,132.875,132.9,202316
12/15/2023 11:55,GOOG,132.965,133.07,132.945,133.005,141764
12/15/2023 11:45,GOOG,133.295,133.31,133.08,133.13,191313
12/15/2023 11:40,GOOG,133.23,133.32,133.12,133.295,182224
12/15/2023 11:50,GOOG,133.131,133.14,132.9,132.965,236146
12/15/2023 11:20,GOOG,133.36,133.38,133.235,133.33,149001
12/15/2023 11:35,GOOG,133.385,133.42,133.23,133.24,198083
12/15/2023 11:25,GOOG,133.335,133.43,133.315,133.383,199821
12/15/2023 11:10,GOOG,133.18,133.285,133.15,133.23,232630
12/15/2023 11:15,GOOG,133.23,133.37,133.145,133.353,236344
12/15/2023 19:10,MSFT,370,370,369.88,369.95,1256
12/15/2023 18:50,MSFT,369.85,370,369.85,369.99,650
12/15/2023 18:40,MSFT,369.8,369.85,369.72,369.72,190
12/15/2023 18:25,MSFT,369.7,369.78,369.65,369.65,125
12/15/2023 18:30,MSFT,369.836,369.85,369.57,369.65,568
12/15/2023 18:20,MSFT,369.814,369.85,369.6,369.6,94
12/15/2023 18:05,MSFT,369.75,369.87,369.55,369.55,1207
12/15/2023 17:45,MSFT,369.69,370.73,366.28,370.34,2761995
12/15/2023 17:30,MSFT,350.042,372.08,350.042,371.72,802816
12/15/2023 17:40,MSFT,370.73,370.73,369.67,369.87,794136
12/15/2023 17:25,MSFT,369.96,377.78,345.127,370,15544
12/15/2023 17:20,MSFT,369.92,369.98,369.87,369.89,2523
12/15/2023 19:15,MSFT,369.95,370,369.85,369.86,915
12/15/2023 17:00,MSFT,369.88,370.73,369.88,369.92,2460
12/15/2023 19:00,MSFT,370,370,369.9,369.97,1181
12/15/2023 17:05,MSFT,369.95,370.838,369.8,369.81,29549
12/15/2023 16:45,MSFT,369.97,370.73,369.86,369.97,16477
12/15/2023 18:35,MSFT,369.65,369.85,369.58,369.78,400
12/15/2023 16:50,MSFT,369.97,369.99,369.86,369.969,9793
12/15/2023 16:35,MSFT,369.92,370.73,369.8,369.92,76186
12/15/2023 18:15,MSFT,369.77,369.842,369.57,369.63,71
12/15/2023 16:40,MSFT,370.03,370.73,369.87,369.98,21640
12/15/2023 19:00,MSFT,370,370,369.9,369.97,1181
12/15/2023 19:05,MSFT,369.97,370,369.88,369.99,1291
12/15/2023 18:50,MSFT,369.85,370,369.85,369.99,650
12/15/2023 16:25,MSFT,369.8,370.838,369.76,369.9,5890
12/15/2023 16:30,MSFT,369.9,370.73,369.75,369.95,22776
12/15/2023 18:55,MSFT,370,370,369.9,370,1596
12/15/2023 18:45,MSFT,369.61,370,369.61,369.95,11882
12/15/2023 16:20,MSFT,370.73,370.73,369.45,369.8,8789081
12/15/2023 18:20,MSFT,369.814,369.85,369.6,369.6,94
12/15/2023 18:35,MSFT,369.65,369.85,369.58,369.78,400
12/15/2023 15:55,MSFT,371.96,372,367.21,368.77,4373958
12/15/2023 16:00,MSFT,368.77,370.739,368.77,370.73,52587394
12/15/2023 16:15,MSFT,370.73,370.73,369.2,369.59,30090
12/15/2023 15:25,MSFT,371.05,371.274,370.9,370.93,275058
12/15/2023 17:45,MSFT,369.69,370.73,366.28,370.34,2761995
12/15/2023 17:35,MSFT,371.929,372.26,369.04,369.73,1588350
12/15/2023 17:25,MSFT,369.96,377.78,345.127,370,15544
12/15/2023 17:40,MSFT,370.73,370.73,369.67,369.87,794136
12/15/2023 15:05,MSFT,370.76,370.92,370.49,370.56,106078
12/15/2023 15:10,MSFT,370.57,370.89,370.56,370.86,137396
12/15/2023 16:50,MSFT,369.97,369.99,369.86,369.969,9793
12/15/2023 14:25,MSFT,370.29,370.593,370.02,370.03,370176
12/15/2023 16:45,MSFT,369.97,370.73,369.86,369.97,16477
12/15/2023 17:10,MSFT,369.88,370.73,369.87,369.92,972
12/15/2023 14:45,MSFT,370.525,370.67,370.355,370.4,96453
12/15/2023 14:40,MSFT,370.7,370.81,370.43,370.515,152666
12/15/2023 16:40,MSFT,370.03,370.73,369.87,369.98,21640
12/15/2023 14:30,MSFT,370.04,370.82,370.04,370.743,117102
12/15/2023 14:20,MSFT,370.16,370.28,369.92,370.28,248708
12/15/2023 14:00,MSFT,369.53,369.73,369.19,369.59,110620
12/15/2023 16:20,MSFT,370.73,370.73,369.45,369.8,8789081
12/15/2023 14:05,MSFT,369.58,369.84,369.33,369.7,98826
12/15/2023 13:55,MSFT,369.41,369.62,368.99,369.54,195549
12/15/2023 13:25,MSFT,370.469,370.67,370.31,370.64,171696
12/15/2023 15:45,MSFT,370.54,370.75,370.39,370.695,305652
12/15/2023 13:30,MSFT,370.65,370.89,370.497,370.82,109509
12/15/2023 16:05,MSFT,370,370.838,369.46,370.737,1252237
12/15/2023 13:40,MSFT,370.25,370.25,369.3,369.53,258720
12/15/2023 15:25,MSFT,371.05,371.274,370.9,370.93,275058
12/15/2023 15:30,MSFT,370.92,371.03,370.77,370.77,171472
12/15/2023 13:35,MSFT,370.79,370.9,369.93,370.26,258738
12/15/2023 15:20,MSFT,371.01,371.16,370.83,371.025,136170
12/15/2023 13:20,MSFT,370.38,370.6,370.37,370.49,82453
12/15/2023 13:15,MSFT,370.74,370.765,370.345,370.39,102504
12/15/2023 13:10,MSFT,370.45,370.86,370.22,370.785,145495
12/15/2023 15:00,MSFT,370.63,370.97,370.63,370.755,143450
12/15/2023 13:05,MSFT,370.102,370.66,370.09,370.45,158908
12/15/2023 13:00,MSFT,370.12,370.25,369.93,370.104,231197
12/15/2023 12:40,MSFT,370.865,371.4,370.775,371.4,170963
12/15/2023 12:20,MSFT,371.91,372.01,371.48,371.7,270459
12/15/2023 14:05,MSFT,369.58,369.84,369.33,369.7,98826
12/15/2023 12:35,MSFT,371.14,371.16,370.57,370.87,180014
12/15/2023 12:15,MSFT,371.54,371.94,371.29,371.921,151675
12/15/2023 12:10,MSFT,371.04,371.55,371,371.55,144527
12/15/2023 13:20,MSFT,370.38,370.6,370.37,370.49,82453
12/15/2023 11:40,MSFT,371.44,371.45,371.06,371.14,158489
12/15/2023 13:35,MSFT,370.79,370.9,369.93,370.26,258738
12/15/2023 13:55,MSFT,369.41,369.62,368.99,369.54,195549
12/15/2023 13:40,MSFT,370.25,370.25,369.3,369.53,258720
12/15/2023 13:25,MSFT,370.469,370.67,370.31,370.64,171696
12/15/2023 13:10,MSFT,370.45,370.86,370.22,370.785,145495
12/15/2023 11:30,MSFT,371.75,372.16,371.406,371.45,329673
12/15/2023 11:50,MSFT,371.17,371.21,370.88,370.96,138888
12/15/2023 11:15,MSFT,370.79,371.46,370.74,371.46,252331
12/15/2023 13:05,MSFT,370.102,370.66,370.09,370.45,158908
12/15/2023 12:45,MSFT,371.4,371.6,370.58,370.89,224295
12/15/2023 11:05,MSFT,370.94,371.03,370.33,370.459,242416
12/15/2023 12:40,MSFT,370.865,371.4,370.775,371.4,170963
12/15/2023 11:25,MSFT,371.407,371.85,371.395,371.74,219243
12/15/2023 13:00,MSFT,370.12,370.25,369.93,370.104,231197
12/15/2023 12:30,MSFT,371.49,371.53,371,371.13,182691
12/15/2023 12:35,MSFT,371.14,371.16,370.57,370.87,180014
12/15/2023 11:55,MSFT,370.96,371.45,370.945,371.3,167490
12/15/2023 11:45,MSFT,371.14,371.49,370.98,371.12,216759
12/15/2023 12:15,MSFT,371.54,371.94,371.29,371.921,151675
12/15/2023 11:40,MSFT,371.44,371.45,371.06,371.14,158489
12/15/2023 11:20,MSFT,371.445,371.58,371.225,371.42,194984
12/15/2023 12:00,MSFT,371.31,371.6,371.14,371.18,185915
12/15/2023 11:15,MSFT,370.79,371.46,370.74,371.46,252331
12/15/2023 11:30,MSFT,371.75,372.16,371.406,371.45,329673
12/15/2023 11:00,MSFT,371.26,371.4,370.81,370.92,194670
12/15/2023 11:05,MSFT,370.94,371.03,370.33,370.459,242416
12/15/2023 11:10,MSFT,370.445,370.855,370.12,370.78,250387
12/15/2023 18:20,GOOG,133.85,133.89,133.75,133.84,258
12/15/2023 18:35,GOOG,133.79,133.82,133.79,133.79,489
12/15/2023 19:10,GOOG,133.99,134,133.92,133.93,61
12/15/2023 18:45,GOOG,133.8,134.2,133.8,133.9,17585
12/15/2023 19:25,GOOG,133.93,134,133.9,133.99,663
12/15/2023 19:15,GOOG,133.95,134,133.92,133.97,384
12/15/2023 18:50,GOOG,133.85,133.9,133.85,133.9,105
12/15/2023 19:20,GOOG,133.93,133.96,133.9,133.93,943
12/15/2023 18:00,GOOG,133.78,133.83,133.76,133.8,611
12/15/2023 19:00,GOOG,133.985,134.05,133.86,133.965,58
12/15/2023 18:00,GOOG,133.78,133.83,133.76,133.8,611
12/15/2023 18:15,GOOG,133.82,133.85,133.79,133.85,234
12/15/2023 18:50,GOOG,133.85,133.9,133.85,133.9,105
12/15/2023 17:55,GOOG,132.63,134.69,132.63,133.8,545
12/15/2023 16:35,GOOG,133.92,133.92,133.84,133.9,6372
12/15/2023 19:00,GOOG,133.985,134.05,133.86,133.965,58
12/15/2023 17:30,GOOG,126.431,134.73,126.431,133.05,1568
12/15/2023 19:15,GOOG,133.95,134,133.92,133.97,384
12/15/2023 17:45,GOOG,133.84,133.85,132.63,133.66,802
12/15/2023 16:30,GOOG,133.9,133.92,133.9,133.9,1805
12/15/2023 17:30,GOOG,126.431,134.73,126.431,133.05,1568
12/15/2023 17:45,GOOG,133.84,133.85,132.63,133.66,802
12/15/2023 18:30,GOOG,133.8,133.83,133.79,133.81,270
12/15/2023 19:10,GOOG,133.99,134,133.92,133.93,61
12/15/2023 16:40,GOOG,133.91,133.92,133.9,133.9,6251
12/15/2023 19:05,GOOG,133.97,134.07,133.97,133.98,23
12/15/2023 18:20,GOOG,133.85,133.89,133.75,133.84,258
12/15/2023 17:25,GOOG,115.057,158.576,115.057,133.99,4711
12/15/2023 16:55,GOOG,133.85,133.92,133.85,133.85,265
12/15/2023 18:25,GOOG,133.8,133.87,133.79,133.83,54
12/15/2023 16:20,GOOG,133.84,133.93,133.84,133.87,302333
12/15/2023 17:00,GOOG,133.9,133.92,133.87,133.91,299
12/15/2023 16:50,GOOG,133.89,133.92,133.84,133.85,82691
12/15/2023 18:15,GOOG,133.82,133.85,133.79,133.85,234
12/15/2023 18:05,GOOG,133.8,133.83,133.76,133.83,628
12/15/2023 17:55,GOOG,132.63,134.69,132.63,133.8,545
12/15/2023 16:45,GOOG,133.905,133.91,133.88,133.89,1403
12/15/2023 17:10,GOOG,133.87,133.91,133.87,133.88,627
12/15/2023 17:15,GOOG,133.912,133.913,133.84,133.9,262
12/15/2023 18:10,GOOG,133.84,133.91,133.83,133.83,35
12/15/2023 16:25,GOOG,133.9,133.92,133.84,133.91,5179
12/15/2023 15:20,GOOG,133.68,133.81,133.66,133.807,265005
12/15/2023 16:20,GOOG,133.84,133.93,133.84,133.87,302333
12/15/2023 17:15,GOOG,133.912,133.913,133.84,133.9,262
12/15/2023 15:15,GOOG,133.695,133.72,133.63,133.68,154447
12/15/2023 16:05,GOOG,133.85,133.91,133.546,133.843,1305877
12/15/2023 17:40,GOOG,133.88,133.9,133.84,133.84,380
12/15/2023 15:30,GOOG,133.89,133.93,133.805,133.835,277187
12/15/2023 15:45,GOOG,133.815,133.86,133.73,133.85,567111
12/15/2023 15:40,GOOG,133.95,133.99,133.81,133.815,263562
12/15/2023 16:05,GOOG,133.85,133.91,133.546,133.843,1305877
12/15/2023 15:50,GOOG,133.86,133.88,133.5,133.74,1377592
12/15/2023 15:05,GOOG,133.61,133.68,133.535,133.565,120222
12/15/2023 15:55,GOOG,133.74,133.845,133.58,133.75,1691676
12/15/2023 15:35,GOOG,133.83,133.953,133.76,133.942,729878
12/15/2023 15:00,GOOG,133.6,133.73,133.595,133.615,156405
12/15/2023 14:50,GOOG,133.49,133.55,133.46,133.5,109796
12/15/2023 15:00,GOOG,133.6,133.73,133.595,133.615,156405
12/15/2023 15:05,GOOG,133.61,133.68,133.535,133.565,120222
12/15/2023 14:35,GOOG,133.54,133.6,133.475,133.475,227801
12/15/2023 14:55,GOOG,133.51,133.6,133.43,133.6,204434
12/15/2023 15:10,GOOG,133.565,133.72,133.56,133.695,116360
12/15/2023 14:40,GOOG,133.475,133.56,133.37,133.52,155352
12/15/2023 15:25,GOOG,133.802,133.93,133.802,133.89,195138
12/15/2023 14:15,GOOG,133.37,133.54,133.365,133.51,239046
12/15/2023 14:05,GOOG,133.09,133.39,132.98,133.292,261046
12/15/2023 14:50,GOOG,133.49,133.55,133.46,133.5,109796
12/15/2023 14:00,GOOG,132.92,133.14,132.832,133.095,151015
12/15/2023 14:25,GOOG,133.46,133.48,133.28,133.28,187518
12/15/2023 14:25,GOOG,133.46,133.48,133.28,133.28,187518
12/15/2023 14:40,GOOG,133.475,133.56,133.37,133.52,155352
12/15/2023 14:30,GOOG,133.285,133.58,133.275,133.545,199399
12/15/2023 14:10,GOOG,133.295,133.385,133.22,133.37,160200
12/15/2023 14:20,GOOG,133.505,133.52,133.41,133.48,144831
12/15/2023 14:15,GOOG,133.37,133.54,133.365,133.51,239046
12/15/2023 13:25,GOOG,132.98,133.18,132.97,133.17,160963
12/15/2023 13:30,GOOG,133.175,133.23,133.1,133.193,143749
12/15/2023 14:10,GOOG,133.295,133.385,133.22,133.37,160200
12/15/2023 13:35,GOOG,133.193,133.2,133,133.09,160061
12/15/2023 14:05,GOOG,133.09,133.39,132.98,133.292,261046
12/15/2023 13:45,GOOG,132.855,132.971,132.81,132.92,215451
12/15/2023 12:45,GOOG,133,133.041,132.9,133.005,626728
12/15/2023 13:10,GOOG,132.78,132.925,132.705,132.895,175025
12/15/2023 13:35,GOOG,133.193,133.2,133,133.09,160061
